timestamp,date,time,graph_size,execution_time_seconds
2025-05-24T09:58:58.006816,2025-05-24,09:58:58,100,5.125999450683594e-05
2025-05-24T09:59:09.461052,2025-05-24,09:59:09,100,9.012222290039062e-05
2025-05-24T17:02:21.795917,2025-05-24,17:02:21,100,5.0067901611328125e-05
