timestamp,date,time,graph_size,execution_time_seconds,memory_usage_mb,edges_per_node,total_edges,nodes_traversed,rich_attributes
2025-05-24T09:54:53.530749,2025-05-24,09:54:53,1000,0.002560138702392578,0,10,10000,1000,True
2025-05-24T09:54:53.530749,2025-05-24,09:54:53,2000,0.005530357360839844,0,10,20000,2000,True
2025-05-24T09:54:53.530749,2025-05-24,09:54:53,3000,0.007317781448364258,0,10,30000,3000,True
